// US Patent 4310222 wide angle
38.794	3.1	1.72	20.0
24.997	12.41	1	20.0
58.28	5.02	1.6031	15.0
46.009	0.15	1	15.0
33.022	1.7	1.6968	15.0
17.647	5.39	1	15.0
32.787	1.3	1.7725	12.0
17.218	6.32	1	12.0
266.96	1.5	1.6968	10.0
13.984	12.08	1.60342	10.0
-43.016	2.2	1	10.0
1000000	1.8	1.51633	7.0
1000000	0.8	1	7.0
74.564	7.84	1.51118	7.0
-14.201	0.94	1	7.0
-12.614	0.9	1.7725	7.0
-26.958	1.0	1	7.0
0	0.7	0	8.0
129.909	2.	1.64769	8.0
12.278	6.9	1.69895	8.0
50.377	0.83	1	8.0
-80.749	0.8	1.84666	8.5
28.151	4.4	1.48749	8.5
-15.466	0.15	1	8.5
493.467	2.85	1.7725	10.0
-33.952	35.	1	10.0
