# Nikon, PAT S.53-131852, F/2.8, 80-200mm (200)
# Modern Lens Design 2nd Ed.: p. 527-528; Figure 20.3
22 # lens size
148.570	5.0	1.564	64.4
-479.279	0.357	1	64.4
192.855	6.286	1.589	62.0
-134.999	2.214	1.805	62.0
-874.852	48.678	1	61.0
-285.712	3.893	1.755	38.0
-44.764	1.036	1.517	38.0
59.357	5.357	1	38.0
-45.071	1.250	1.589	32.0
166.174	1.536	1	32.0
164.284	5.000	1.658	30.0
-33.928	1.036	1.795	30.0
-85.047	5.133	1	30.0
30.464	5.357	1.670	33.4
162.202	3.071	1	32.6
-374.997	1.786	1.805	30.4
259.105	17.857	1	29.0
0	18.000	0	18.8
-17.214	1.714	1.713	21.0
-30.230	0.286	1	23.0
62.857	3.071	1.773	25.2
-466.815	40.08	1	25.2
