# CANON, US Patent 5537259, F/2.8, 70-200mm (200)
# Variable: FL 72.10/135.00/194.01
34 # lens size
311.919	2.80	1.7495	76.0
118.63	0.42	1	76.0
128.135	8.68	1.497	76.0
-263.46	0.1	1	76.0
79.501	5.72	1.497	70.0
203.191	32.85	1	70.0
54.391	2.2	1.847	56.0
45.859	1.13	1	56.0
51.927	8.55	1.487	56.0
5099.30	17.23	1	56.0
-488.6	1.4	1.804	36.0
35.390	5.88	1	36.0
-78.125	1.4	1.487	36.0
38.137	4.97	1.847	36.0
417.478	2.65	1	36.0
-66.802	1.4	1.729	36.0
-3363.0	1.32	1	36.0
247.12	3.49	1.697	38.0
-99.902	0.15	1	38.0
-189.99	4.77	1.497	38.0
-40.553	1.45	1.834	38.0
-76.277	4.05	1	38.0
58.421	3.53	1.804	42.0
133.262	3	1	42.0
0	0.24	0	42.0
34.132	6.35	1.497	42.0
2256.763	3.72	1.620	42.0
31.519	28.17	1	42.0
132.947	5.9	1.517	42.0
-77.546	13.94	1	42.0
-39.485	1.8	1.834	42.0
-95.683	0.15	1	42.0
147.644	3.62	1.743	42.0
-205.76	54.5	1	42.0
