# wide angle zoom lens, Inventor: Takayuki Itoh, US Patent 4196968, 100-145mm
19 # lens size
296.140	14.220	1.589	164.0
914.140	0.410	1	164.0
187.780	4.880	1.806	150.0
64.230	30.880	1	104.0
717.900	5.280	1.678	101.0
120.230	18.810	1	101.0
113.650	12.190	1.805	84.0
223.460	33.205	1	84.0
0	4.880	0	53.8
171.170	28.320	1.806	70.0
-565.340	9.260	1	70.0
83.770	10.160	1.808	66.0
262.120	9.130	1	66.0
-218.780	15.930	1.847	64.0
85.250	7.310	1	64.0
-839.850	9.140	1.516	64.0
-94.280	0.410	1	64.0
-3422.750	9.430	1.516	65.6
-115.670	149.674	1	65.6
