// Nikon, PAT S.53-131852, F/2.8, 80-200mm (140)
// Modern Lens Design 2nd Ed.: p. 527-528; Figure 20.3
148.570	5.0	1.564	32.2
-479.279	0.357	1	32.2
192.855	6.286	1.589	31.0
-134.999	2.214	1.805	31.0
-874.852	25.27	1	30.5
-285.712	3.893	1.755	19.0
-44.764	1.036	1.517	19.0
59.357	5.357	1	19.0
-45.071	1.250	1.589	16.0
166.174	19.23	1	16.0
164.284	5.000	1.658	15.0
-33.928	1.036	1.795	15.0
-85.047	10.84	1	15.0
30.464	5.357	1.670	16.7
162.202	3.071	1	16.3
-374.997	1.786	1.805	15.2
259.105	17.857	1	14.5
0	18.000	0	9.4
-17.214	1.714	1.713	10.5
-30.230	0.286	1	11.5
62.857	3.071	1.773	12.6
-466.815	40.08	1	12.6
