// fisheye 220 degree (shimizu)
143.47	7.0	1.51680	106.5
52.5	28.0	1	52.3
76.4	3.8	1.51680	50
31.521	21.8	1	30.5
150.0	3.0	1.51680	27.0
17.1	16.5	1	16.5
-60.0	7.0	1.62041	16.5
22.625	0.6	1	16.5
23.9	12.6	1.72825	16.5
78.988	22.7	1	16.5
10000	1.8	1.51823	16.5
10000	5.1	1	16.5
278.333	3.0	1.64831	16.5
-185.42	0.1	1	16.5
52.030	7.0	1.53375	16.5
-28.5	2.0	1.77250	16.5
-77.0	3.0	1	16.5
0	10.0	0	16.5
45.0	8.0	1.51823	10
-14.4	0.6	1.79631	10
-34.5	0.1	1	10
-110.0	1.0	1.71736	10
35.0	3.5	1.51680	10
-25.763	39.8	1	10
